ObjCoeff,Dual,y_lp_sum,RC,ylp,yint
14338,-2.15E-33,0.999868,0,1,1
13191,-5254.28,0.000145581,547.097,0,0
10897,-10485.3,0.00224203,0,0,0
11041,-9166.19,0.00021385,0,0,0
5162,-6100,0.999967,-938,1,1
13478,-11359.7,0.999933,-2648.5,1,1
10324,-10243.7,0.000125793,0,0,0
14338,-4449.27,0.998631,0,1,1
2725,-4067.23,0.999996,-591.689,1,1
13478,-5431.87,9.31E-09,6751.5,0,0
12474,-15985.3,0.999996,-2510.83,1,1
9894,-7846.5,0.00168785,0,1.81E-13,0
14338,1348.69,1,-16467.9,1,1
5019,-7978.61,0.999996,-2063.1,1,1
1578,-1798.3,0.997428,-352.509,1,1
3155,-4729.04,1,-3300.84,1,1
12044,-13177.5,0.372853,0,0.368583,0
14338,-7.60E-51,1,-14784.5,1,1
10037,-16768.7,0.999993,-4353.97,1,1
1434,-1850.98,0.999996,-211.162,1,1
5879,-2525.09,2.10E-07,2091.26,0,0
6739,-2428.96,9.31E-09,3826.74,0,0
12905,-15136.5,7.81E-05,0,0,0
14195,-3674.55,0.00135833,0,1.81E-13,0
10467,-8317.18,4.83E-06,1596.29,0,0
14338,-32.9017,1,0,1,1
12905,-5905.11,9.53E-05,0,0,0
7456,-8541.91,0.999996,-2368.22,1,1
3728,-2754.36,0.000153319,59.5147,0,0
9320,-3530.43,9.31E-09,2135.63,0,0
14338,-215.753,0.999936,0,1,1
9464,-273.8,3.71E-05,8873.41,0,0
6022,-6484.08,0.999996,-4998.07,1,1
4875,-2945.89,0.998954,0,1,1
5449,-2842.82,6.77E-06,2416.22,0,0
10754,-4052.81,6.44E-05,0,0,0
14338,-1.16E-29,0.999922,0,1,1
4589,-3140.2,0.331919,0,0.32418,1
5592,-3698.56,0.995765,-973.163,1,1
10324,-8289.66,0.665135,0,0.685159,0
3442,-2697.91,0.999996,-125.226,1,1
11901,-9735.7,0.852296,0,0.847236,1
14338,-237.274,0.999973,0,1,1
8316,-21880.8,0.999996,-11253.7,1,1
2295,-12388.9,0.999998,-9458.32,1,1
10611,-8075.73,8.18E-05,0,0,0
10180,-6337.46,0.309253,0,0.309209,0
14338,-2755.09,0.999623,0,1,1
7313,-7535.72,0.00196205,0,0,0
10324,-15166.2,0.999996,-4988.93,1,1
1864,-1307.52,0.998469,-117.119,1,1
6596,-5962.21,0.00527247,0,0,0
11471,-5689.84,9.31E-09,8613.89,0,0
14338,-9.95E-50,0.999845,0,1,1
4158,-11600.4,0.999996,-6229.74,1,1
1721,-3682.78,0.999996,-1357.23,1,1
4589,-9740.08,0.999996,-3988.81,1,1
4302,-5535.68,0.999979,-224.772,1,1
5162,-12358.4,0.999996,-2020.24,1,1
8173,-6733.98,0.000185708,0,0,0
6005,0,0.00244141,0,0,0
2462,0,0.00244141,0,0,0
3783,0,0.00244141,0,0,0
3723,-2915.11,0.00244141,0,0,0
2462,-4584.41,0.99707,-1539.9,1,1
4144,0,0.00244141,0,0,0
4204,0,0.00244141,0,0,0
5164,0,0.00244141,0,0,0
781,0,0.00244141,0,0,0
6005,0,0.00244141,0,0,0
4444,-4207.78,0.00463867,0,0,0
3423,0,0.00244141,0,0,0
1802,0,0.994873,0,1,1
