LB,ObjCoeff,Dual,RC,y_lp_sum,ylp,yint
53399.3,1,1,-0.526719,0.00244141,0,0
53399.3,0.329485,1,-0.526719,0.00244141,0,0
53399.3,0.579485,1,-0.526719,0.00244141,0,0
53399.3,0.56813,-0.27175,-0.526719,0.00244141,0,0
53399.3,0.329485,-1.00E+00,-1.00E+00,0.99707,1,1
53399.3,0.647805,1,-0.526719,0.00244141,0,0
53399.3,0.65916,1,-0.526719,0.00244141,0,0
53399.3,0.84084,1,-0.526719,0.00244141,0,0
53399.3,0.011355,1,-0.526719,0.00244141,0,0
53399.3,1,1,-0.526719,0.00244141,0,0
53399.3,0.70458,-0.835692,-0.526719,0.00463867,0,0
53399.3,0.511355,1,-0.526719,0.00244141,0,0
53399.3,0.20458,1,-0.526719,0.994873,1,1
53399.3,0.556775,0.7372,-0.526719,0.971191,1,1
53399.3,0.84084,1,-0.526719,0.00244141,0,0
53399.3,1,0.474251,1,0.00244141,0,0
53399.3,0.920515,0.237251,0.715826,0.00244141,0,0
53399.3,0.13645,0.260057,-0.526719,0.988108,1,1
53399.3,0.31813,-0.107653,-0.526719,0.0070741,0,0
53399.3,0.852385,0.822113,0.586,0.00244141,0,0
53399.3,0,1,-0.526719,0.00806253,0,0
53399.3,1,1,-0.526719,0.00244141,0,0
53399.3,0.0681302,1,-0.526719,0.00463867,0,0
53399.3,0.47729,1,-0.526719,0.00244141,0,0
53399.3,0.420515,1,-0.526719,0.0113195,0,0
53399.3,0.88645,-0.556322,-0.167538,0.00244141,0,0
53399.3,0.68187,1,0.652876,0.00244141,0,0
53399.3,0.77271,0.504277,-0.212906,0.00244141,0,0
53399.3,1,0.249646,0.312951,0.00244141,0,0
53399.3,0.102195,0.215014,-0.526719,0.980153,1,1
53399.3,0.88645,0.220986,-0.526719,0.0193584,0,0
53399.3,0.86374,0.641161,0.483414,0.00244141,0,0
53399.3,0.965935,-0.140789,-0.0128098,0.00244141,0,0
53399.3,1,0.733343,0.629178,0.00244141,0,0
53399.3,0.443225,1,-0.526719,0.00244141,0,0
53399.3,0.61374,1,-0.526719,0.00252516,0,0
53399.3,0.0340651,1,-0.526719,0.0113195,0,0
53399.3,0.193225,0.753855,-0.526719,0.00756627,0,0
53399.3,1,1,-0.526719,0.00244141,0,0
53399.3,0.40916,0.863695,-0.476043,0.00244141,0,0
53399.3,0.95458,-0.0799687,-0.412054,0.00244141,0,0
53399.3,0.0340651,1,-0.526719,0.99707,1,1
53399.3,0.54542,0.935202,-0.179538,0.00244141,0,0
53399.3,1,1,-0.526719,0.00244141,0,0
