LB,ObjCoeff,Dual,y_lp_sum,RC,ylp,yint
53399.3,6005,0,0.00244141,0,0,0
53399.3,2462,0,0.00244141,0,0,0
53399.3,3783.00,0.00,0.00,0.00,0.00,0
53399.3,3723.00,-2915.11,0.00,0.00,0.00,0
53399.3,2462.00,-4584.41,1.00,-1539.90,1.00,1
53399.3,4144.00,0.00,0.00,0.00,0.00,0
53399.3,4204.00,0.00,0.00,0.00,0.00,0
53399.3,5164.00,0.00,0.00,0.00,0.00,0
53399.3,781.00,0.00,0.00,0.00,0.00,0
53399.3,6005.00,0.00,0.00,0.00,0.00,0
53399.3,4444.00,-4207.78,0.00,0.00,0.00,0
53399.3,3423.00,0.00,0.00,0.00,0.00,0
53399.3,1802.00,0.00,0.99,0.00,1.00,1
53399.3,3663.00,-602.39,0.97,0.00,1.00,1
53399.3,5164.00,0.00,0.00,0.00,0.00,0
53399.3,6005.00,-1205.12,0.00,4967.43,0.00,0
53399.3,5585.00,-1748.38,0.00,4042.82,0.00,0
53399.3,1442.00,-1696.10,0.99,0.00,1.00,1
53399.3,2402.00,-2538.97,0.01,0.00,0.00,0
53399.3,5225.00,-407.75,0.00,3620.41,0.00,0
53399.3,721.00,0.00,0.01,0.00,0.00,0
53399.3,6005.00,0.00,0.00,0.00,0.00,0
53399.3,1081.00,0.00,0.00,0.00,0.00,0
53399.3,3243.00,0.00,0.00,0.00,0.00,0
53399.3,2943.00,0.00,0.01,0.00,0.00,0
53399.3,5405.00,-3567.41,0.00,1168.65,0.00,0
53399.3,4324.00,0.00,0.00,3838.00,0.00,0
53399.3,4804.00,-1136.30,0.00,1021.04,0.00,0
53399.3,6005.00,-1719.96,0.00,2732.00,0.00,0
53399.3,1261.00,-1799.35,0.98,0.00,1.00,1
53399.3,5405.00,-1785.66,0.02,0.00,0.00,0
53399.3,5285.00,-822.53,0.00,3286.63,0.00,0
53399.3,5825.00,-2614.92,0.00,1672.09,0.00,0
53399.3,6005.00,-611.23,0.00,3760.90,0.00,0
53399.3,3063.00,0.00,0.00,0.00,0.00,0
53399.3,3964.00,0.00,0.00,0.00,0.00,0
53399.3,901.00,0.00,0.01,0.00,0.00,0
53399.3,1742.00,-564.22,0.01,0.00,0.00,0
53399.3,6005.00,0.00,0.00,0.00,0.00,0
53399.3,2883.00,-312.44,0.00,164.88,0.00,0
53399.3,5765.00,-2475.51,0.00,373.08,0.00,0
53399.3,901.00,0.00,1.00,0.00,1.00,1
53399.3,3603.00,-148.53,0.00,1129.61,0.00,0
53399.3,6005.00,0.00,0.00,0.00,0.00,0
53399.3,3423.00,-1880.20,0.00,0.00,0.00,0
53399.3,3603.00,-398.30,0.00,2027.59,0.00,0
53399.3,2582.00,-2748.75,1.00,0.00,1.00,1
53399.3,3423.00,-1349.51,0.00,0.00,0.00,0
53399.3,2282.00,0.00,0.00,0.00,0.00,0
53399.3,2883.00,0.00,0.00,0.00,0.00,0
53399.3,2462.00,0.00,0.00,0.00,0.00,0
53399.3,6005.00,0.00,0.00,0.00,0.00,0
53399.3,3003.00,-1989.59,1.00,0.00,1.00,1
53399.3,4924.00,-194.43,0.00,4124.66,0.00,0
53399.3,2162.00,-434.51,0.99,0.00,1.00,1
53399.3,4084.00,0.00,0.00,0.00,0.00,0
53399.3,6005.00,0.00,0.00,0.00,0.00,0
53399.3,3783.00,-4377.85,1.00,0.00,1.00,1
53399.3,5405.00,0.00,0.00,0.00,0.00,0
53399.3,1982.00,-2680.02,0.98,0.00,1.00,1
55914.4,6005.00,-41.95,0.00,0.00,0.00,0
55914.4,2462.00,0.00,0.00,0.00,0.00,0
55914.4,3783.00,-291.18,0.00,0.00,0.00,0
55914.4,3723.00,-2581.64,0.00,0.00,0.00,0
55914.4,2462.00,-3942.70,1.00,-2327.58,1.00,1
55914.4,4144.00,-639.63,0.00,2565.20,0.00,0
55914.4,4204.00,-652.14,0.00,2880.28,0.00,0
55914.4,5164.00,-188.50,0.00,3925.73,0.00,0
55914.4,781.00,0.00,0.01,0.00,0.00,0
55914.4,6005.00,-21.94,0.00,5732.43,0.00,0
55914.4,4444.00,-2280.17,0.12,0.00,0.06,1
55914.4,3423.00,-1187.87,0.00,2594.22,0.00,0
55914.4,1802.00,-5092.27,1.00,-34.83,1.00,1
55914.4,3663.00,-574.72,0.88,0.00,0.94,0
55914.4,5164.00,0.00,0.00,4876.72,0.00,0
55914.4,6005.00,-1288.84,0.00,2345.48,0.00,0
55914.4,5585.00,-6893.58,0.00,1494.51,0.00,0
55914.4,1442.00,-1535.74,0.99,0.00,1.00,0
55914.4,2402.00,-1999.61,0.01,0.00,0.00,1
55914.4,5225.00,-935.87,0.00,4065.13,0.00,0
