LB,ObjCoeff,Dual,y_lp_sum,RC,ylp,yint
53399.3,6005,-2357.15,2.38E-06,3790.39,0,0
53399.3,2462,-1911.08,2.38E-06,462.9,0,0
53399.3,3783,-684.129,0.0272083,0,0,0
53399.3,3723,-5311.06,0.0214696,28.9676,0,0
53399.3,2462,-26.7435,0.991863,0,1,1
53399.3,4144,-4801.33,2.38E-06,1165.6,0,0
53399.3,4204,-12789.8,8.51E-06,2514.63,0,0
53399.3,5164,-1028.62,2.38E-06,2920.36,0,0
53399.3,781,-510.818,0.00261682,0,0,0
53399.3,6005,-2578.71,2.42E-06,3748.54,0,0
53399.3,4444,-2595.45,0.0282312,0,0,0
53399.3,3423,-6508.28,0.00195678,0,0,0
53399.3,1802,-2806.35,0.961874,0,1,1
53399.3,3663,-2286.68,0.839195,0,1,1
53399.3,5164,-5643.47,2.38E-06,1469.08,0,0
53399.3,6005,-4252.15,2.38E-06,811.715,0,0
53399.3,5585,-9555.76,0.00818111,0,0,0
53399.3,1442,-767.577,0.965419,0,1,1
53399.3,2402,-7772.08,0.0539899,0,0,0
53399.3,5225,-2126.82,0.00310818,0,0,0
53399.3,721,-236.768,0.00881278,0,0,0
53399.3,6005,-9786.34,2.38E-06,5385.67,0,0
53399.3,1081,-897.141,0.00625407,0,0,0
53399.3,3243,-8039.93,0.000329988,81.0401,0,0
53399.3,2943,-2317.22,0.0285491,0,0,0
53399.3,5405,-6270.09,0.00796851,0,0,0
53399.3,4324,-5203.5,2.38E-06,702.553,0,0
53399.3,4804,-8313.1,0.00713913,102.435,0,0
53399.3,6005,-12180.3,0.00996277,316.357,0,0
53399.3,1261,-7.11396,0.930575,0,1,1
53399.3,5405,-3469.95,0.0852689,0,0,0
53399.3,5285,-8066.28,0.000309049,91.3433,0,0
53399.3,5825,-10198.6,0.0002875,161.357,0,0
53399.3,6005,-6615.51,0.000470681,1682.32,0,0
53399.3,3063,-2320.4,2.38E-06,1878.55,0,0
53399.3,3964,-6420.62,0.0195488,0,0,0
53399.3,901,-6658.76,0.0321472,0,0,0
53399.3,1742,-0.606464,0.0478637,0,0,0
53399.3,6005,-14939.3,0.000238903,246.099,0,0
53399.3,2883,-227.96,0.00198926,264.81,0,0
53399.3,5765,-7584.44,0.0315438,0,0,0
53399.3,901,-2860.77,0.955226,0,1,1
53399.3,3603,-4267.92,0.0125305,0,0,0
53399.3,6005,-5651.68,2.38E-06,2489.66,0,0
53399.3,3423,-877.879,0.0118213,0,0,0
53399.3,3603,-2985.48,0.010677,0,0,0
53399.3,2582,-4460.34,0.979304,0,1,1
53399.3,3423,-1652.5,0.00749907,0,0,0
53399.3,2282,-706.233,2.38E-06,234.344,0,0
53399.3,2883,-24478.1,0.0042175,248.805,0,0
53399.3,2462,-1099.59,2.97E-06,754.169,0,0
53399.3,6005,-5942.05,2.40E-06,3410.22,0,0
53399.3,3003,-3247.47,0.978331,0,1,1
53399.3,4924,-10.3585,0.00464005,637.472,0,0
53399.3,2162,-5314.69,0.934715,0,1,1
53399.3,4084,-4556.64,0.00372145,311.455,0,0
53399.3,6005,-5439.98,4.55E-06,1775.8,0,0
53399.3,3783,-4377.79,0.813006,0,1,1
53399.3,5405,-3136.27,2.38E-06,0,0,0
53399.3,1982,-1578.88,0.936882,0,1,1
55870.7,6005,-971.793,2.13E-07,0,0,0
55870.7,2462,-338.855,2.79E-06,1144.74,0,0
55870.7,3783,-503.777,4.20E-05,0,4.95E-05,0
55870.7,3723,-5271.91,0.0001558,0,0.000132851,0
55870.7,2462,-1566.91,0.999998,-58.3516,1,1
55870.7,4144,-1020.89,5.25E-07,0,0,0
55870.7,4204,-188.239,3.50E-11,2279.98,0,0
55870.7,5164,-925.727,3.55E-14,0,0,0
55870.7,781,-540.495,0.000234622,0,0.000216558,0
55870.7,6005,-961.641,3.71E-14,3895.7,0,0
55870.7,4444,-1367.1,0.02941,0,0.0310773,1
55870.7,3423,-4381.24,7.18E-06,0,0,0
55870.7,1802,-890.351,0.999579,0,0.999504,1
55870.7,3663,-165.004,0.970519,0,0.968848,0
55870.7,5164,-1246.99,3.55E-14,1840.43,0,0
55870.7,6005,-1683.45,2.09E-06,0,0,0
55870.7,5585,-5325.57,0.000241275,0,0.000242515,0
55870.7,1442,-894.145,0.981602,0,0.981969,0
55870.7,2402,-1822.14,0.00544083,0,0.0049244,1
55870.7,5225,-2265.41,1.12E-06,221.816,4.34E-07,0
55870.7,721,-784.086,0.0138371,0,0.0139823,0
55870.7,6005,-18.5771,5.01E-14,5320.52,0,0
55870.7,1081,-332.143,0.00164954,0,0.00164341,0
55870.7,3243,-1165.43,1.67E-08,0,0,0
55870.7,2943,-221.858,0.0294129,0,0.0310749,1
55870.7,5405,-4628.78,0.000789799,0,0.000781506,0
55870.7,4324,-4406.24,1.42E-08,634.447,0,0
55870.7,4804,-4978.91,5.23E-05,0,4.48E-05,0
55870.7,6005,-4320.61,1.23E-13,0,0,0
55870.7,1261,-976.326,0.999996,0,0.999998,1
55870.7,5405,-1977.49,3.42E-06,0,2.36E-06,0
55870.7,5285,-3466.91,4.15E-10,975.501,0,0
55870.7,5825,-3094.51,1.71E-07,420.723,0,0
55870.7,6005,-4643.16,8.55E-11,1827.28,0,0
55870.7,3063,-1824.53,5.42E-08,925.165,0,0
55870.7,3964,-924.686,6.39E-06,0,0,0
55870.7,901,-920.761,0.00155841,0,0.00158638,0
55870.7,1742,-1769.62,0.00484963,0,0.00426653,1
55870.7,6005,-1802.73,1.67E-05,0,2.47E-05,0
55870.7,2883,-2101.8,2.92E-07,0,0,0
55870.7,5765,-3442.11,0.000344448,0,0.000417788,0
55870.7,901,-185.945,0.999568,0,0.999479,1
55870.7,3603,-1627.21,7.17E-05,0,7.85E-05,0
55870.7,6005,-1217.29,3.55E-14,2836.92,0,0
55870.7,3423,-3453.4,0.00153243,0,0.00108742,0
55870.7,3603,-5832.93,3.10E-05,0,4.67E-05,0
55870.7,2582,-3577.62,0.999687,0,0.999684,1
55870.7,3423,-7353.78,0.000245916,0,0.000241943,0
55870.7,2282,-0.25087,0.970584,0,0.968923,0
55870.7,2883,-239.765,6.97E-07,0,0,0
55870.7,2462,-299.176,3.55E-14,935.111,0,0
55870.7,6005,-1321.66,2.77E-07,0,0,0
55870.7,3003,-3330.47,0.9997,0,0.999713,1
55870.7,4924,-3583.27,0.00150513,0,0.0015255,0
55870.7,2162,-2291.31,0.995834,0,0.996308,1
55870.7,4084,-2428.36,3.63E-07,0,0,0
55870.7,6005,-4091.82,1.02E-08,0,0,0
55870.7,3783,-3103.79,0.00639947,0,0.00584147,1
55870.7,5405,-1752.24,4.19E-06,0,0,0
55870.7,1982,-1594.17,0.993601,0,0.994159,0
55470.2,6005,-311.95,0.000610352,5119.68,0,0
55470.2,2462,-5858.02,0.000610352,1859.91,0,0
55470.2,3783,-37.1075,0.000610352,193.947,0,0
55470.2,3723,-5936.47,0.000811737,0,0,0
55470.2,2462,-494.632,0.999268,0,1,1
55470.2,4144,-1124.44,0.000610352,2582.35,0,0
55470.2,4204,-5258.85,0.000610352,4173.29,0,0
55470.2,5164,-998.57,0.000610352,4367.95,0,0
55470.2,781,-378.223,0.00474386,612.098,0,0
55470.2,6005,-1304.09,0.000610352,4485.41,0,0
55470.2,4444,-2678.91,0.0114239,0,-1.58E-13,0
55470.2,3423,-3624.23,0.000979374,0,0,0
55470.2,1802,-1821.1,0.98661,0,1,1
55470.2,3663,-57.7081,0.979516,0,1,1
55470.2,5164,-9974.13,0.000610352,3499.92,0,0
55470.2,6005,-8732.07,0.000610352,3672.24,0,0
55470.2,5585,-9802.19,0.000610352,462.975,0,0
55470.2,1442,-1867.83,0.98463,0,1,1
55470.2,2402,-3247.98,0.00945753,0,-2.32E-13,0
55470.2,5225,-17922.9,0.000610352,3347.22,0,0
55470.2,721,-150.08,0.0064004,231.038,0,0
55470.2,6005,-3926.97,0.000610352,5977.02,0,0
55470.2,1081,-411.025,0.00270302,523.993,0,0
55470.2,3243,-10563.6,0.000623806,2440.97,0,0
55470.2,2943,-1432.74,0.0151955,0,0,1.92E-13
55470.2,5405,-6142.37,0.00391832,0,0,0
55470.2,4324,-4838.55,0.000610352,2702.68,0,0
55470.2,4804,-5588.74,0.000657615,668.951,0,0
55470.2,6005,-6244.88,0.000610352,553.275,0,0
55470.2,1261,-108.634,0.996447,-272.5,1,1
55470.2,5405,-2982.08,0.00496803,0,0,0
55470.2,5285,-4371.63,0.000610352,1213.22,0,0
55470.2,5825,-10897.5,0.000610352,1622.76,0,0
55470.2,6005,-3854.23,0.000796787,2370.5,0,0
55470.2,3063,-4838.17,0.000610352,2453.22,0,0
55470.2,3964,-354.113,0.00141877,0,0,0
55470.2,901,-398.248,0.00733465,0,0,0
55470.2,1742,-1402.31,0.0095615,47.4709,0,0
55470.2,6005,-603.187,0.000610352,297.701,0,0
55470.2,2883,-459.254,0.000610352,394.293,0,0
55470.2,5765,-3589.88,0.0118725,0,0,0
55470.2,901,0,0.987796,0,1,1
55470.2,3603,-2693.84,0.000819491,517.885,0,0
55470.2,6005,-1848.41,0.000623587,3536.5,0,0
55470.2,3423,-3149.12,0.00296603,197.363,0,0
55470.2,3603,-2701.6,0.00112035,0,0,0
55470.2,2582,-1954.93,0.996369,0,1,1
55470.2,3423,-7607.06,0.00061315,1.05679,0,1.01E-13
55470.2,2282,-1584.94,0.000610352,655.153,0,0
55470.2,2883,-3828.68,0.000733583,845.274,0,0
55470.2,2462,-1050.2,0.000610352,1353.3,0,0
55470.2,6005,-9455.18,0.000617342,4276.49,0,0
55470.2,3003,-350.798,0.997854,0,1,1
55470.2,4924,-1401.82,0.00262711,0,0,0
55470.2,2162,-2837.08,0.986327,0,1,1
55470.2,4084,-2807.76,0.000610352,1675.29,0,0
55470.2,6005,-3323.26,0.000610352,4147.75,0,0
55470.2,3783,-4666.93,0.940777,0,1,1
55470.2,5405,-3471.04,0.000610352,3183.15,0,0
55470.2,1982,-883.993,0.982597,0,1,1
44013.3,3003,-135.659,7.45E-08,1367.41,0,0
44013.3,1231,-0.162352,0.000193761,0,3.30E-05,0
44013.3,1892,-1698.68,0.000483076,72.5947,0,0
44013.3,1862,-494.22,0.12267,0,0.122174,0
44013.3,1231,-445.185,1,-286.61,1,1
44013.3,2072,-829.543,7.45E-08,89.5675,0,0
44013.3,2102,-750.041,0.000129423,0,0,0
44013.3,2582,-150.852,7.45E-08,1535.34,0,0
