LB,ObjCoeff,Dual,y_lp_sum,RC,ylp,yint
53399.3,6005,0,0.00244141,0,0,0
53399.3,2462,0,0.00244141,0,0,0
53399.3,3783,0,0.00244141,0,0,0
53399.3,3723,-0.00361271,0.00244141,0,0,0
53399.3,2462,-0.0056891,0.99707,-1539.9,1,1
53399.3,4144,0,0.00244141,0,0,0
53399.3,4204,0,0.00244141,0,0,0
53399.3,5164,0,0.00244141,0,0,0
53399.3,781,0,0.00244141,0,0,0
53399.3,6005,0,0.00244141,0,0,0
53399.3,4444,-0.00525484,0.00463867,0,0,0
53399.3,3423,0,0.00244141,0,0,0
53399.3,1802,0,0.994873,0,1,1
53399.3,3663,-0.000759226,0.971191,0,1,1
53399.3,5164,0,0.00244141,0,0,0
53399.3,6005,-0.00149163,0.00244141,4967.43,0,0
53399.3,5585,-0.00216441,0.00244141,4042.82,0,0
53399.3,1442,-0.00209933,0.988108,0,1,1
53399.3,2402,-0.00314656,0.0070741,0,0,0
53399.3,5225,-0.000500972,0.00244141,3620.41,0,0
53399.3,721,-1.63E-50,0.00806253,0,0,0
53399.3,6005,0,0.00244141,0,0,0
53399.3,1081,0,0.00463867,0,0,0
53399.3,3243,0,0.00244141,0,0,0
53399.3,2943,-3.30E-49,0.0113195,0,0,0
53399.3,5405,-0.00441909,0.00244141,1168.65,0,0
53399.3,4324,-9.79E-40,0.00244141,3838,0,0
53399.3,4804,-0.00137225,0.00244141,1021.04,0,0
53399.3,6005,-0.00210255,0.00244141,2732,0,0
53399.3,1261,-0.00219959,0.980153,0,1,1
53399.3,5405,-0.00225056,0.0193584,0,0,0
53399.3,5285,-0.00100844,0.00244141,3286.63,0,0
53399.3,5825,-0.00321044,0.00244141,1672.09,0,0
53399.3,6005,-0.000757504,0.00244141,3760.9,0,0
53399.3,3063,0,0.00244141,0,0,0
53399.3,3964,0,0.00252516,0,0,0
53399.3,901,0,0.0113195,0,0,0
53399.3,1742,-0.000699235,0.00756627,0,0,0
53399.3,6005,0,0.00244141,0,0,0
53399.3,2883,-0.000386718,0.00244141,164.883,0,0
53399.3,5765,-0.00311401,0.00244141,373.08,0,0
53399.3,901,0,0.99707,0,1,1
53399.3,3603,-0.00018684,0.00244141,1129.61,0,0
53399.3,6005,0,0.00244141,0,0,0
53399.3,3423,-0.00235992,0.00244141,0,0,0
53399.3,3603,-0.000492896,0.00244141,2027.59,0,0
53399.3,2582,-0.00348111,0.99707,0,1,1
53399.3,3423,-0.00164969,0.00244141,0,0,0
53399.3,2282,0,0.00244141,0,0,0
53399.3,2883,0,0.00244141,0,0,0
53399.3,2462,0,0.00244141,0,0,0
53399.3,6005,0,0.00244141,0,0,0
53399.3,3003,-0.00245171,0.99707,0,1,1
53399.3,4924,-0.000231897,0.00244141,4124.66,0,0
53399.3,2162,-0.000537704,0.992438,0,1,1
53399.3,4084,0,0.00244141,0,0,0
53399.3,6005,0,0.00244141,0,0,0
53399.3,3783,-0.00551906,0.99707,0,1,1
53399.3,5405,0,0.00244141,0,0,0
53399.3,1982,-0.00332137,0.984863,0,1,1
55914.4,6005,-4.54E-05,4.77E-06,0,0,0
55914.4,2462,0,4.77E-06,0,0,0
55914.4,3783,-0.000315354,4.77E-06,0,0,0
55914.4,3723,-0.00275568,0.000437223,0,0,0
55914.4,2462,-0.00421617,0.999994,-2327.58,1,1
55914.4,4144,-0.000692048,4.77E-06,2565.2,0,0
55914.4,4204,-0.000699422,4.77E-06,2880.28,0,0
55914.4,5164,-0.000203369,4.77E-06,3925.73,0,0
55914.4,781,0,0.00580137,0,-2.04E-13,0
55914.4,6005,-2.03E-05,4.77E-06,5732.43,0,0
55914.4,4444,-0.00243749,0.122343,0,0.0637082,1
55914.4,3423,-0.00126499,4.77E-06,2594.22,0,0
55914.4,1802,-0.00544611,0.999966,-34.8269,1,1
55914.4,3663,-0.0006131,0.875911,0,0.936292,0
55914.4,5164,-1.26E-17,4.77E-06,4876.72,0,0
55914.4,6005,-0.00137876,4.77E-06,2345.48,0,0
55914.4,5585,-0.00736035,4.77E-06,1494.51,0,0
55914.4,1442,-0.0016392,0.994343,0,1,0
55914.4,2402,-0.0021347,0.00501864,0,0,1
55914.4,5225,-0.00100493,4.77E-06,4065.13,0,0
55914.4,721,-1.84E-18,0.0558479,0,0.0637082,0
55914.4,6005,0,4.77E-06,0,0,0
55914.4,1081,-1.77E-05,2.02E-05,0,0,0
55914.4,3243,-1.46E-07,4.77E-06,0,0,0
55914.4,2943,-5.29E-59,0.123989,0,0.0637082,1
55914.4,5405,-0.00681374,4.77E-06,792.832,0,0
55914.4,4324,-0.00234832,4.77E-06,3817.95,0,0
55914.4,4804,-0.00336594,4.77E-06,1805,0,0
